Time,Volt
1.4759709e-01,2.00000e-01,
1.4759709e-01,1.08000e-01,
1.4759709e-01,-4.80000e-02,
1.4759709e-01,-1.64000e-01,
1.4759709e-01,-1.64000e-01,
1.4759709e-01,-3.20001e-02,
1.4759709e-01,1.28000e-01,
1.4759709e-01,1.96000e-01,
1.4759709e-01,1.20000e-01,
1.4759709e-01,-4.00001e-02,
1.4759709e-01,-1.60000e-01,
1.4759709e-01,-1.60000e-01,
1.4759709e-01,-4.40000e-02,
1.4759709e-01,1.24000e-01,
1.4759709e-01,2.00000e-01,
1.4759709e-01,1.08000e-01,
1.4759709e-01,-4.80000e-02,
1.4759709e-01,-1.68000e-01,
1.4759709e-01,-1.72000e-01,
1.4759709e-01,-4.40000e-02,
1.4759709e-01,1.20000e-01,
1.4759709e-01,2.00000e-01,
1.4759709e-01,1.20000e-01,
1.4759709e-01,-4.00001e-02,
1.4759709e-01,-1.72000e-01,
1.4759709e-01,-1.72000e-01,
1.4759709e-01,-4.80000e-02,
1.4759709e-01,1.12000e-01,
1.4759709e-01,2.00000e-01,
1.4759709e-01,1.24000e-01,
1.4759709e-01,-3.20001e-02,
1.4759709e-01,-1.60000e-01,
1.4759709e-01,-1.64000e-01,
1.4759709e-01,-5.60001e-02,
1.4759709e-01,1.28000e-01,
1.4759709e-01,1.96000e-01,
1.4759709e-01,1.16000e-01,
1.4759709e-01,-4.00001e-02,
1.4759709e-01,-1.60000e-01,
1.4759709e-01,-1.64000e-01,
1.4759709e-01,-5.60001e-02,
1.4759709e-01,1.20000e-01,
1.4759709e-01,1.92000e-01,
1.4759709e-01,1.20000e-01,
1.4759709e-01,-4.80000e-02,
1.4759709e-01,-1.68000e-01,
1.4759709e-01,-1.72000e-01,
1.4759709e-01,-5.60001e-02,
1.4759709e-01,1.12000e-01,
1.4759709e-01,2.04000e-01,
